0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:18 +0800] "GET //Bahoot HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:19 +0800] "GET /Bahoot/ HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:19 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:19 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 200 27159
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:20 +0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:20 +0800] "GET /apple-touch-icon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:28 +0800] "GET /Bahoot/selection.jsp?room_code=4332 HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:28 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:28 +0800] "GET /Bahoot/images/bahoot.ico HTTP/1.1" 200 41662
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:15 +0800] "GET /Bahoot/selection.jsp?room_code=4332 HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:15 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:15 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:17 +0800] "GET /Bahoot/viewQuestions?setid=1&totalQn=5&room_code=4332 HTTP/1.1" 500 3776
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:43 +0800] "GET /Bahoot/viewQuestions?setid=1&totalQn=5&room_code=4332 HTTP/1.1" 200 3992
